station_id,lng,lat,date,PM2.5,row_index,col_index,proj_x,proj_y,dem,w10,d10,t2m,sp,tp,blh,e,r,u10,v10,aod_sat,ndvi
1110A,121.565,38.95111111,20170930,17.267857142857142,2348.0,7698.0,2073528.8122370872,1360414.3577281593,27,1.7785239219665527,4.710118770599365,294.87774658203125,100704.03125,0.000634528172668,446.6583862304688,-0.0001360102760372,71.54583740234375,0.1460378617048263,1.7725180387496948,0.5253152251243591,3073
1111A,121.5638889,38.885,20170930,23.089285714285715,2358.0,7698.0,2075594.4628619235,1352631.9139785515,38,1.7784916162490845,4.804381847381592,294.895751953125,100647.2578125,0.0006374277290888,447.73138427734375,-0.0001388171658618,71.46192932128906,0.1489518284797668,1.7722431421279907,0.5736582279205322,4190
1112A,121.6330556,38.91194444,20170930,22.759259259259263,2354.0,7709.0,2079987.4852426236,1357256.3772669935,46,1.83822762966156,6.09218692779541,294.9901428222656,100889.8984375,0.0006471402593888,443.9727783203125,-0.000134668443934,71.33841705322266,0.1950819790363311,1.8278467655181885,0.5304928421974182,2800
1113A,121.625,38.86388889,20170930,19.88888888888889,2362.0,7708.0,2080940.2564217,1351447.2175031516,26,1.8396635055541992,6.192413330078125,294.9952697753906,100876.203125,0.0006487889331765,449.1659851074219,-0.0001391091500408,71.23965454101562,0.1984343528747558,1.828930139541626,0.5391609072685242,6391
1114A,121.51805559999998,38.85611111,20170930,18.517857142857142,2363.0,7691.0,2073038.6283332517,1348273.9278651727,24,1.7557967901229858,3.5674874782562256,294.8783874511719,100563.2734375,0.0006211222498677,447.2113037109375,-0.000140634147101,71.55609130859375,0.1092511191964149,1.7523945569992063,0.5242246985435486,2849
1115A,121.2588889,38.80805556,20170930,20.01851851851852,2371.0,7649.0,2054810.7173493528,1337188.2958765752,16,1.8138214349746704,184.6553649902344,294.8944091796875,101015.1796875,0.0004860394983552,399.4076843261719,-0.0001107151765609,72.16336822509766,-0.1472096741199493,1.8078378438949585,0.560206949710846,3207
1117A,121.7769,39.0511,20170930,24.69642857142857,2332.0,7732.0,2086380.8077644263,1376633.0888619204,36,1.6416131258010864,8.75969409942627,294.6944580078125,100659.6171875,0.0006970714894123,409.7349853515625,-0.0001118835061788,71.72862243652344,0.2499948889017105,1.6224660873413086,0.5553646087646484,2845
1119A,125.323,43.9167,20170930,16.0,1553.0,8300.0,2173758.544607888,2023400.3168702272,214,2.12820816040039,24.31465148925781,287.6834716796875,98686.640625,0.0008477627416141,230.1319732666016,-1.7229576769750565e-05,65.32381439208984,0.876259982585907,1.9394428730010984,0.3587302267551422,2821
1120A,125.287,43.91,20170930,14.678571428571429,1554.0,8294.0,2171509.16831646,2021822.145415828,221,2.150761604309082,24.37910461425781,287.7174072265625,98714.1875,0.0008307188982143,232.1402130126953,-1.7519718312541954e-05,65.26744079589844,0.8877500891685486,1.958998441696167,0.4135657846927643,2888
1121A,125.2786,43.84,20170930,14.25925925925926,1566.0,8293.0,2173527.2858362827,2013464.1409786085,228,2.182082414627075,25.11299133300781,287.7088623046875,98683.125,0.0009244859102182,232.443603515625,-2.0462763131945397e-05,65.5383071899414,0.926060438156128,1.9758278131484983,0.410891979932785,2656
