station_id,lng,lat,date,PM2_5,row_index,col_index,proj_x,proj_y,dem,w10,d10,t2m,sp,tp,blh,e,r,u10,v10,aod_sat,ndvi
1395A,114.3244,22.8172,20170601,24.58848315,4929,6540,1892259.655,-654992.357,81,0.956310332,267.0995483,294.4826355,100138.3594,0.003024695,255.1569366,-3.01505e-05,79.50608826,-0.955083072,0.048433039,0.489254385,4177
1396A,114.5317,22.7422,20170601,29.73285714,4941,6573,1914000.146,-659458.769,13,1.373717189,267.5316772,294.897522,100286.1016,0.00255526,293.9423828,-5.59032e-05,79.67350006,-1.372439981,0.059223849,0.465269625,4569
1397A,112.427,23.0706,20170601,39.67086835,4889,6236,1703364.794,-660969.9043,11,0.714842439,273.4051514,294.5708923,100007.0938,0.002928441,217.0730438,-1.4898e-05,76.35643005,-0.713582397,-0.042424597,0.557553291,2688
1398A,112.471,23.0528,20170601,38.88826816,4892,6243,1707983.708,-662229.4579,10,0.720156848,271.6866455,294.6395264,100205.9688,0.002944014,220.5185242,-1.52215e-05,76.10688782,-0.719845831,-0.02116262,0.558288634,1464
1399A,112.565,23.1617,20170601,39.39495798,4874,6258,1714838.677,-648212.3413,17,0.661383867,277.3355103,294.3409119,99287.88281,0.003029945,219.1104431,-1.81026e-05,75.72619629,-0.655974984,-0.084412314,0.564404726,4265
1400A,112.4722,23.0786,20170601,38.267507,4888,6244,1707572.738,-659275.949,9,0.71356982,273.1748047,294.5643616,99983.96094,0.002943652,219.9272003,-1.55717e-05,76.19499969,-0.712476552,-0.039484859,0.553430438,2650
1401A,108.301,22.7875,20170601,35.12253521,4934,5576,1307340.47,-756473.1589,91,1.095800757,250.1768494,294.4387207,99865.55469,0.002777726,263.9943237,-1.59962e-05,79.70346069,-1.030854225,0.371643305,0.541004241,2332
1402A,108.316,22.8561,20170601,33.86731844,4923,5579,1307736.621,-748432.5494,85,1.127639651,251.1008148,294.4006958,99840.24219,0.002779066,261.5622864,-1.59962e-05,79.83918762,-1.066835165,0.365286022,0.545925081,2342
1403A,108.321,22.8225,20170601,33.82062147,4928,5579,1308748.553,-752206.7347,84,1.119592071,250.6407471,294.4284668,99893.10938,0.002779258,263.2190857,-1.60176e-05,79.79971313,-1.056275368,0.371172309,0.540578067,2095
1404A,108.383,22.805,20170601,32.59722222,4931,5589,1315076.34,-753378.9954,122,1.107817054,251.6599121,294.4295959,100020.5703,0.002805531,268.0393066,-1.6175e-05,79.96898651,-1.051533222,0.348620832,0.548646629,3386
