监测点编码,监测点名称,城市,经度,纬度,date,PM2_5,row_index,col_index,proj_x,proj_y,dem,w10,d10,t2m,sp,tp,blh,e,r,u10,v10,aod_sat,ndvi,id
2572A,邛海宾馆,凉山州,102.2714,27.8408,20170601,20.54329609,4126,4611,672647.9158,-230713.8368,1692,0.34070766,231.2393494,289.4865723,82113.42969,0.001943677,190.5304871,-3.16795e-06,62.30973053,-0.265667349,0.213313311,0.260489076,5689,1198
1483A,第五水厂,西宁,101.524,36.6867,20170601,52.19736842,2710,4492,533365.5383,820935.9539,2424,0.454251558,194.5162811,278.0318604,73803.48438,0.001060768,185.4665527,-4.37961e-06,52.40709305,-0.11385712,0.439751089,0.199551359,3763,410
2275A,高新区,蚌埠,117.3065,32.8985,20170601,46.36619718,3316,7017,1912221.04,564196.9243,24,1.086892486,251.0886993,288.156189,101423.5391,0.002223765,227.8575592,-1.98286e-05,66.34241486,-1.02821064,0.352303892,0.797428012,2995,933
1167A,相城区,苏州,120.641,31.3708,20170601,39.74515235,3561,7551,2239173.479,457147.214,2,1.321242332,269.2276306,289.0168762,101649.5859,0.001808774,317.5026245,-3.80527e-05,72.2419281,-1.321121454,0.017870884,0.728561103,3169,148
1320A,经开区管委,郑州,113.727,34.7187,20170601,65.41432584,3025,6444,1567967.706,715090.1755,100,0.602924109,204.6053925,288.1590881,100277.3047,0.001053692,221.9347687,-1.23614e-05,58.79164505,-0.251030356,0.548179924,0.855601549,2533,267
2435A,襄州航空路,襄阳,112.2106,32.0903,20170601,71.5252809,3446,6202,1497407.433,380817.5614,68,0.691217363,219.5436859,288.7744751,100619.9531,0.001736499,235.1690521,-1.6929e-05,67.46040344,-0.440063983,0.533033907,0.838894904,2531,1073
1838A,风景区,三门峡,111.1489,34.7997,20170601,54.08100559,3012,6032,1352615.337,686392.7039,329,1.070873141,240.855072,286.2693481,95937.51563,0.001157618,167.9270477,-1.2907e-05,63.02849579,-0.935274065,0.521566451,0.632011414,2484,654
2304A,监测楼,宿州,116.9765,33.6481,20170601,55.37114846,3196,6964,1864434.692,645633.2906,29,1.067447782,248.0788727,287.8458862,101391.0156,0.002110152,206.2516174,-1.28069e-05,63.99135208,-0.990255952,0.398544848,0.804332256,2689,960
2463A,市一中,邵阳,111.4733,27.2317,20170601,51.66572238,4223,6084,1530103.717,-198774.641,235,0.950242102,301.5267029,290.3252563,98676.13281,0.002182061,233.4302521,-1.12113e-05,75.72887421,-0.810014248,-0.496826828,0.741808414,2417,1099
2181A,开发区,忻州,112.7383,38.4519,20170601,53.09014085,2428,6286,1404884.567,1144779.75,782,0.339300066,49.06974792,282.7994385,91406.52344,0.001043609,102.8699036,-2.58138e-06,52.14321136,0.256338179,0.222295448,0.494992226,2532,846
1594A,华泰汽车城,鄂尔多斯,109.8119,39.5989,20170601,28.25633803,2244,5818,1154064.629,1244488.435,1287,0.929235041,68.38034058,280.9314575,86874.60938,0.000770789,250.335022,-9.62404e-06,46.60416794,0.863851428,0.342401057,0.382480323,2382,443
1189A,黄巷,无锡,120.275,31.6219,20170601,42.90625,3521,7492,2200293.156,477876.4342,3,1.295582056,265.0903015,288.9356689,101614.1641,0.001821463,316.0049133,-4.37446e-05,70.39360046,-1.29082346,0.110939883,0.741893291,2283,163
2324A,三钢,三明,117.6211,26.2625,20170601,27.27222222,4378,7067,2118371.85,-196173.853,165,0.444835037,272.9368286,291.5320435,95914.74219,0.002275976,122.2554321,-8.6595e-06,74.80988312,-0.444251895,-0.022769809,0.434409648,4431,977
2216A,汇工街西,铁岭,123.8139,42.3022,20170601,27.88053097,1812,8058,2125927.469,1801558.985,59,1.102552652,18.07344627,280.2128906,100743.1484,0.001080358,296.0635071,-1.05773e-05,51.80924606,0.342041641,1.048155427,0.52020967,3603,877
2407A,理工学院,南阳,112.55,32.9683,20170601,55.1075419,3305,6256,1507927.955,489607.541,122,0.793991506,294.6564941,288.12854,100076.8281,0.001388169,209.1359406,-1.24941e-05,66.55693817,-0.72161895,-0.331192672,0.8530581,2810,1054
2221A,河畔小区,朝阳,120.4486,41.5672,20170601,25.5915493,1929,7520,1906615.979,1645982.219,168,0.688925862,72.19995117,281.1743774,98395.90625,0.000729882,286.1395874,-4.93262e-06,48.52017212,0.655938566,0.210626394,0.551502764,1894,882
1147A,静安监测站,上海,121.425,31.2261,20170601,41.84261838,3584,7676,2310595.562,458625.3112,10,1.076615334,263.7683411,288.881958,101648.6406,0.001991,345.5020142,-2.61719e-05,75.44211578,-1.070248723,0.116911449,0.653249979,2392,128
2485A,监测楼,怀化,109.9972,27.5578,20170601,42.84463277,4171,5848,1388282.358,-182807.7052,237,0.648509562,333.420166,290.02948,96947.46875,0.002482558,192.9264832,-1.07682e-05,74.33651733,-0.290217429,-0.579946935,0.710507154,2771,1121
2681A,官桥站,中卫,105.18,37.0172,20170601,35.66201117,2657,5077,827237.0702,886194.3756,1709,0.06970761,236.7164307,281.9941711,82823.27344,0.000755304,307.1931763,-1.00134e-05,49.86452866,-0.058271989,0.038256057,0.316709965,1231,1295
1633A,双山,淄博,117.8477,36.497,20170601,53.86827195,2741,7104,1857771.496,997198.9788,210,0.918748319,191.1878204,284.4354553,97179.71094,0.001116327,205.0503235,-8.73227e-06,63.06698227,-0.178255662,0.90128988,0.753453732,3443,477
